,subject,time,state
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,1,0,0
12,1,1,0
13,1,2,1
14,1,3,1
15,1,4,1
16,1,5,0
17,1,6,1
18,1,7,1
19,1,8,0
20,1,9,1
21,1,10,1
22,2,0,0
23,2,1,1
24,2,2,1
25,2,3,0
26,2,4,1
27,2,5,1
28,2,6,0
29,2,7,1
30,2,8,0
31,2,9,1
32,2,10,1
33,3,0,0
34,3,1,1
35,3,2,2
36,3,3,1
37,3,4,2
38,3,5,1
39,3,6,0
40,3,7,1
41,3,8,2
42,3,9,1
43,3,10,2
44,4,0,0
45,4,1,0
46,4,2,0
47,4,3,0
48,4,4,0
49,4,5,0
50,4,6,0
51,4,7,0
52,4,8,0
53,4,9,0
54,4,10,0
55,5,0,0
56,5,1,0
57,5,2,0
58,5,3,0
59,5,4,0
60,5,5,0
61,5,6,0
62,5,7,0
63,5,8,0
64,5,9,0
65,5,10,0
66,6,0,0
67,6,1,0
68,6,2,0
69,6,3,0
70,6,4,0
71,6,5,0
72,6,6,0
73,6,7,1
74,6,8,1
75,6,9,0
76,6,10,0
77,7,0,0
78,7,1,0
79,7,2,0
80,7,3,0
81,7,4,0
82,7,5,0
83,7,6,0
84,7,7,0
85,7,8,0
86,7,9,0
87,7,10,0
88,8,0,0
89,8,1,0
90,8,2,0
91,8,3,0
92,8,4,0
93,8,5,0
94,8,6,0
95,8,7,0
96,8,8,0
97,8,9,0
98,8,10,0
99,9,0,0
100,9,1,0
101,9,2,0
102,9,3,0
103,9,4,0
104,9,5,0
105,9,6,0
106,9,7,0
107,9,8,0
108,9,9,0
109,9,10,0
110,10,0,0
111,10,1,0
112,10,2,0
113,10,3,0
114,10,4,0
115,10,5,0
116,10,6,0
117,10,7,0
118,10,8,0
119,10,9,0
120,10,10,0
121,11,0,0
122,11,1,1
123,11,2,1
124,11,3,1
125,11,4,1
126,11,5,1
127,11,6,1
128,11,7,1
129,11,8,1
130,11,9,1
131,11,10,1
132,12,0,0
133,12,1,0
134,12,2,1
135,12,3,2
136,12,4,1
137,12,5,0
138,12,6,0
139,12,7,0
140,12,8,1
141,12,9,0
142,12,10,1
143,13,0,0
144,13,1,0
145,13,2,0
146,13,3,0
147,13,4,0
148,13,5,0
149,13,6,0
150,13,7,0
151,13,8,0
152,13,9,0
153,13,10,0
154,14,0,0
155,14,1,1
156,14,2,1
157,14,3,0
158,14,4,1
159,14,5,0
160,14,6,1
161,14,7,0
162,14,8,1
163,14,9,0
164,14,10,1
165,15,0,0
166,15,1,0
167,15,2,0
168,15,3,0
169,15,4,0
170,15,5,0
171,15,6,0
172,15,7,0
173,15,8,0
174,15,9,0
175,15,10,0
176,16,0,0
177,16,1,1
178,16,2,0
179,16,3,1
180,16,4,0
181,16,5,1
182,16,6,0
183,16,7,1
184,16,8,1
185,16,9,0
186,16,10,0
187,17,0,0
188,17,1,0
189,17,2,0
190,17,3,0
191,17,4,0
192,17,5,0
193,17,6,0
194,17,7,0
195,17,8,1
196,17,9,2
197,17,10,3
198,18,0,0
199,18,1,0
200,18,2,0
201,18,3,0
202,18,4,0
203,18,5,0
204,18,6,0
205,18,7,0
206,18,8,0
207,18,9,0
208,18,10,0
209,19,0,0
210,19,1,1
211,19,2,0
212,19,3,1
213,19,4,0
214,19,5,1
215,19,6,0
216,19,7,1
217,19,8,0
218,19,9,1
219,19,10,0
220,20,0,0
221,20,1,0
222,20,2,0
223,20,3,0
224,20,4,0
225,20,5,0
226,20,6,0
227,20,7,0
228,20,8,0
229,20,9,0
230,20,10,0
231,21,0,0
232,21,1,0
233,21,2,0
234,21,3,0
235,21,4,0
236,21,5,0
237,21,6,0
238,21,7,0
239,21,8,0
240,21,9,0
241,21,10,0
242,22,0,0
243,22,1,0
244,22,2,0
245,22,3,0
246,22,4,0
247,22,5,0
248,22,6,0
249,22,7,0
250,22,8,0
251,22,9,0
252,22,10,0
253,23,0,0
254,23,1,1
255,23,2,0
256,23,3,1
257,23,4,0
258,23,5,1
259,23,6,0
260,23,7,1
261,23,8,0
262,23,9,1
263,23,10,0
264,24,0,0
265,24,1,0
266,24,2,0
267,24,3,0
268,24,4,0
269,24,5,0
270,24,6,0
271,24,7,0
272,24,8,0
273,24,9,0
274,24,10,0
275,25,0,0
276,25,1,0
277,25,2,0
278,25,3,0
279,25,4,0
280,25,5,0
281,25,6,0
282,25,7,0
283,25,8,0
284,25,9,0
285,25,10,0
286,26,0,0
287,26,1,0
288,26,2,0
289,26,3,0
290,26,4,0
291,26,5,0
292,26,6,0
293,26,7,0
294,26,8,0
295,26,9,0
296,26,10,0
297,27,0,0
298,27,1,0
299,27,2,0
300,27,3,0
301,27,4,1
302,27,5,0
303,27,6,0
304,27,7,0
305,27,8,0
306,27,9,0
307,27,10,0
308,28,0,0
309,28,1,1
310,28,2,0
311,28,3,0
312,28,4,1
313,28,5,2
314,28,6,1
315,28,7,2
316,28,8,1
317,28,9,1
318,28,10,2
319,29,0,0
320,29,1,1
321,29,2,1
322,29,3,2
323,29,4,1
324,29,5,0
325,29,6,1
326,29,7,1
327,29,8,0
328,29,9,1
329,29,10,1
330,30,0,0
331,30,1,1
332,30,2,1
333,30,3,1
334,30,4,1
335,30,5,1
336,30,6,1
337,30,7,1
338,30,8,1
339,30,9,1
340,30,10,1
341,31,0,0
342,31,1,1
343,31,2,0
344,31,3,1
345,31,4,0
346,31,5,1
347,31,6,0
348,31,7,1
349,31,8,0
350,31,9,1
351,31,10,0
352,32,0,0
353,32,1,0
354,32,2,0
355,32,3,0
356,32,4,0
357,32,5,0
358,32,6,0
359,32,7,0
360,32,8,0
361,32,9,0
362,32,10,0
363,33,0,0
364,33,1,0
365,33,2,0
366,33,3,0
367,33,4,0
368,33,5,0
369,33,6,0
370,33,7,0
371,33,8,0
372,33,9,0
373,33,10,0
374,34,0,0
375,34,1,1
376,34,2,1
377,34,3,0
378,34,4,1
379,34,5,0
380,34,6,1
381,34,7,0
382,34,8,1
383,34,9,0
384,34,10,1
385,35,0,0
386,35,1,0
387,35,2,0
388,35,3,0
389,35,4,0
390,35,5,0
391,35,6,0
392,35,7,0
393,35,8,0
394,35,9,0
395,35,10,0
396,36,0,0
397,36,1,1
398,36,2,1
399,36,3,1
400,36,4,1
401,36,5,1
402,36,6,1
403,36,7,1
404,36,8,1
405,36,9,1
406,36,10,1
407,37,0,0
408,37,1,1
409,37,2,0
410,37,3,0
411,37,4,0
412,37,5,0
413,37,6,0
414,37,7,0
415,37,8,0
416,37,9,0
417,37,10,1
418,38,0,0
419,38,1,0
420,38,2,0
421,38,3,0
422,38,4,1
423,38,5,1
424,38,6,0
425,38,7,0
426,38,8,0
427,38,9,0
428,38,10,0
429,39,0,0
430,39,1,0
431,39,2,0
432,39,3,0
433,39,4,0
434,39,5,0
435,39,6,0
436,39,7,0
437,39,8,0
438,39,9,0
439,39,10,0
440,40,0,0
441,40,1,0
442,40,2,0
443,40,3,0
444,40,4,0
445,40,5,0
446,40,6,1
447,40,7,1
448,40,8,0
449,40,9,1
450,40,10,0
451,41,0,0
452,41,1,0
453,41,2,0
454,41,3,0
455,41,4,0
456,41,5,0
457,41,6,0
458,41,7,0
459,41,8,0
460,41,9,0
461,41,10,0
462,42,0,0
463,42,1,0
464,42,2,0
465,42,3,0
466,42,4,0
467,42,5,0
468,42,6,0
469,42,7,0
470,42,8,0
471,42,9,0
472,42,10,0
473,43,0,0
474,43,1,0
475,43,2,0
476,43,3,0
477,43,4,0
478,43,5,0
479,43,6,0
480,43,7,0
481,43,8,0
482,43,9,0
483,43,10,0
484,44,0,0
485,44,1,0
486,44,2,0
487,44,3,0
488,44,4,0
489,44,5,0
490,44,6,0
491,44,7,0
492,44,8,0
493,44,9,0
494,44,10,0
495,45,0,0
496,45,1,0
497,45,2,0
498,45,3,0
499,45,4,0
500,45,5,0
501,45,6,0
502,45,7,0
503,45,8,0
504,45,9,0
505,45,10,0
506,46,0,0
507,46,1,0
508,46,2,0
509,46,3,0
510,46,4,0
511,46,5,1
512,46,6,2
513,46,7,1
514,46,8,0
515,46,9,0
516,46,10,0
517,47,0,0
518,47,1,0
519,47,2,0
520,47,3,0
521,47,4,0
522,47,5,0
523,47,6,0
524,47,7,0
525,47,8,0
526,47,9,0
527,47,10,0
528,48,0,0
529,48,1,0
530,48,2,0
531,48,3,0
532,48,4,0
533,48,5,0
534,48,6,0
535,48,7,0
536,48,8,0
537,48,9,0
538,48,10,0
539,49,0,0
540,49,1,1
541,49,2,1
542,49,3,1
543,49,4,0
544,49,5,1
545,49,6,0
546,49,7,1
547,49,8,0
548,49,9,1
549,49,10,0
550,50,0,0
551,50,1,0
552,50,2,0
553,50,3,0
554,50,4,0
555,50,5,0
556,50,6,0
557,50,7,0
558,50,8,0
559,50,9,0
560,50,10,0
561,51,0,0
562,51,1,0
563,51,2,1
564,51,3,1
565,51,4,0
566,51,5,0
567,51,6,1
568,51,7,2
569,51,8,1
570,51,9,2
571,51,10,1
572,52,0,0
573,52,1,0
574,52,2,0
575,52,3,0
576,52,4,0
577,52,5,0
578,52,6,0
579,52,7,0
580,52,8,0
581,52,9,0
582,52,10,0
583,53,0,0
584,53,1,0
585,53,2,0
586,53,3,0
587,53,4,0
588,53,5,0
589,53,6,0
590,53,7,0
591,53,8,0
592,53,9,0
593,53,10,0
594,54,0,0
595,54,1,0
596,54,2,0
597,54,3,0
598,54,4,0
599,54,5,0
600,54,6,0
601,54,7,0
602,54,8,0
603,54,9,0
604,54,10,0
605,55,0,0
606,55,1,0
607,55,2,0
608,55,3,0
609,55,4,0
610,55,5,0
611,55,6,0
612,55,7,0
613,55,8,0
614,55,9,0
615,55,10,0
616,56,0,0
617,56,1,0
618,56,2,0
619,56,3,0
620,56,4,0
621,56,5,0
622,56,6,0
623,56,7,0
624,56,8,0
625,56,9,0
626,56,10,0
627,57,0,0
628,57,1,1
629,57,2,0
630,57,3,1
631,57,4,0
632,57,5,1
633,57,6,0
634,57,7,1
635,57,8,0
636,57,9,0
637,57,10,1
638,58,0,0
639,58,1,0
640,58,2,0
641,58,3,0
642,58,4,0
643,58,5,0
644,58,6,0
645,58,7,0
646,58,8,0
647,58,9,0
648,58,10,0
649,59,0,0
650,59,1,0
651,59,2,0
652,59,3,0
653,59,4,0
654,59,5,0
655,59,6,1
656,59,7,0
657,59,8,0
658,59,9,0
659,59,10,0
660,60,0,0
661,60,1,0
662,60,2,0
663,60,3,0
664,60,4,0
665,60,5,0
666,60,6,0
667,60,7,0
668,60,8,0
669,60,9,0
670,60,10,0
671,61,0,0
672,61,1,0
673,61,2,0
674,61,3,0
675,61,4,0
676,61,5,0
677,61,6,0
678,61,7,0
679,61,8,0
680,61,9,0
681,61,10,0
682,62,0,0
683,62,1,0
684,62,2,0
685,62,3,0
686,62,4,1
687,62,5,1
688,62,6,2
689,62,7,1
690,62,8,2
691,62,9,1
692,62,10,0
693,63,0,0
694,63,1,0
695,63,2,0
696,63,3,0
697,63,4,0
698,63,5,0
699,63,6,0
700,63,7,0
701,63,8,0
702,63,9,0
703,63,10,0
704,64,0,0
705,64,1,0
706,64,2,0
707,64,3,1
708,64,4,0
709,64,5,0
710,64,6,0
711,64,7,0
712,64,8,0
713,64,9,0
714,64,10,0
715,65,0,0
716,65,1,0
717,65,2,0
718,65,3,0
719,65,4,0
720,65,5,0
721,65,6,0
722,65,7,0
723,65,8,0
724,65,9,0
725,65,10,0
726,66,0,0
727,66,1,0
728,66,2,0
729,66,3,0
730,66,4,0
731,66,5,0
732,66,6,0
733,66,7,0
734,66,8,0
735,66,9,0
736,66,10,0
737,67,0,0
738,67,1,0
739,67,2,0
740,67,3,0
741,67,4,0
742,67,5,0
743,67,6,0
744,67,7,0
745,67,8,0
746,67,9,0
747,67,10,0
748,68,0,0
749,68,1,0
750,68,2,1
751,68,3,0
752,68,4,0
753,68,5,1
754,68,6,0
755,68,7,0
756,68,8,0
757,68,9,0
758,68,10,1
759,69,0,0
760,69,1,0
761,69,2,0
762,69,3,0
763,69,4,0
764,69,5,0
765,69,6,0
766,69,7,0
767,69,8,0
768,69,9,0
769,69,10,0
770,70,0,0
771,70,1,0
772,70,2,1
773,70,3,0
774,70,4,1
775,70,5,0
776,70,6,1
777,70,7,2
778,70,8,1
779,70,9,0
780,70,10,0
781,71,0,0
782,71,1,0
783,71,2,0
784,71,3,0
785,71,4,0
786,71,5,0
787,71,6,0
788,71,7,0
789,71,8,0
790,71,9,0
791,71,10,0
792,72,0,0
793,72,1,0
794,72,2,0
795,72,3,0
796,72,4,0
797,72,5,0
798,72,6,0
799,72,7,0
800,72,8,0
801,72,9,0
802,72,10,0
803,73,0,0
804,73,1,0
805,73,2,0
806,73,3,0
807,73,4,0
808,73,5,0
809,73,6,0
810,73,7,0
811,73,8,0
812,73,9,0
813,73,10,0
814,74,0,0
815,74,1,0
816,74,2,0
817,74,3,0
818,74,4,0
819,74,5,0
820,74,6,0
821,74,7,0
822,74,8,0
823,74,9,0
824,74,10,0
825,75,0,0
826,75,1,0
827,75,2,0
828,75,3,0
829,75,4,0
830,75,5,0
831,75,6,0
832,75,7,0
833,75,8,0
834,75,9,0
835,75,10,0
836,76,0,0
837,76,1,0
838,76,2,0
839,76,3,0
840,76,4,0
841,76,5,0
842,76,6,0
843,76,7,0
844,76,8,0
845,76,9,0
846,76,10,0
847,77,0,0
848,77,1,0
849,77,2,0
850,77,3,0
851,77,4,0
852,77,5,0
853,77,6,0
854,77,7,0
855,77,8,0
856,77,9,0
857,77,10,0
858,78,0,0
859,78,1,1
860,78,2,0
861,78,3,1
862,78,4,1
863,78,5,1
864,78,6,1
865,78,7,1
866,78,8,0
867,78,9,1
868,78,10,2
869,79,0,0
870,79,1,0
871,79,2,0
872,79,3,0
873,79,4,0
874,79,5,0
875,79,6,0
876,79,7,0
877,79,8,0
