,subject,time,state,state_max_by_time
0,0,0,0,0.0
1,0,1,0,0.0
2,0,2,0,0.0
3,0,3,0,0.0
4,0,7,0,0.0
5,0,8,0,0.0
6,1,0,0,0.0
7,1,3,1,1.0
8,1,4,1,1.0
9,1,5,0,1.0
10,1,6,1,1.0
11,1,8,0,1.0
12,2,0,0,0.0
13,2,2,1,1.0
14,2,3,0,1.0
15,2,7,1,1.0
16,2,8,0,1.0
17,2,9,1,1.0
18,3,0,0,0.0
19,3,2,2,2.0
20,3,3,1,2.0
21,3,7,1,2.0
22,3,8,2,2.0
23,3,9,1,2.0
24,4,0,0,0.0
25,4,1,0,0.0
26,4,2,0,0.0
27,4,6,0,0.0
28,4,9,0,0.0
29,4,10,0,0.0
30,5,1,0,0.0
31,5,3,0,0.0
32,5,6,0,0.0
33,5,7,0,0.0
34,5,9,0,0.0
35,5,10,0,0.0
36,6,0,0,0.0
37,6,5,0,0.0
38,6,6,0,0.0
39,6,7,1,1.0
40,6,9,0,1.0
41,6,10,0,1.0
42,7,0,0,0.0
43,7,1,0,0.0
44,7,5,0,0.0
45,7,7,0,0.0
46,7,9,0,0.0
47,7,10,0,0.0
48,8,0,0,0.0
49,8,1,0,0.0
50,8,4,0,0.0
51,8,5,0,0.0
52,8,7,0,0.0
53,8,8,0,0.0
54,9,0,0,0.0
55,9,1,0,0.0
56,9,2,0,0.0
57,9,4,0,0.0
58,9,8,0,0.0
59,9,9,0,0.0
60,10,0,0,0.0
61,10,1,0,0.0
62,10,2,0,0.0
63,10,3,0,0.0
64,10,9,0,0.0
65,10,10,0,0.0
66,11,0,0,0.0
67,11,4,1,1.0
68,11,5,1,1.0
69,11,6,1,1.0
70,11,7,1,1.0
71,11,9,1,1.0
72,12,1,0,0.0
73,12,3,2,2.0
74,12,5,0,2.0
75,12,6,0,2.0
76,12,8,1,2.0
77,12,10,1,2.0
78,13,0,0,0.0
79,13,1,0,0.0
80,13,2,0,0.0
81,13,3,0,0.0
82,13,5,0,0.0
83,13,8,0,0.0
84,14,0,0,0.0
85,14,1,1,1.0
86,14,3,0,1.0
87,14,6,1,1.0
88,14,9,0,1.0
89,14,10,1,1.0
90,15,0,0,0.0
91,15,1,0,0.0
92,15,3,0,0.0
93,15,4,0,0.0
94,15,6,0,0.0
95,15,10,0,0.0
96,16,1,1,1.0
97,16,2,0,1.0
98,16,3,1,1.0
99,16,4,0,1.0
100,16,6,0,1.0
101,16,7,1,1.0
102,17,2,0,0.0
103,17,3,0,0.0
104,17,4,0,0.0
105,17,5,0,0.0
106,17,7,0,0.0
