,subject,time,state
0,0,0,0
1,0,1,1
2,0,2,0
3,0,3,1
4,0,4,0
5,0,5,1
6,0,6,0
7,0,7,1
8,0,8,0
9,0,9,1
10,0,10,0
11,1,0,0
12,1,1,1
13,1,2,2
14,1,3,1
15,1,4,2
16,1,5,2
17,1,6,3
18,1,7,2
19,1,8,2
20,1,9,3
21,1,10,4
22,2,0,0
23,2,1,1
24,2,2,0
25,2,3,1
26,2,4,1
27,2,5,2
28,2,6,3
29,2,7,3
30,2,8,4
31,2,9,5
32,2,10,5
33,3,0,0
34,3,1,1
35,3,2,2
36,3,3,1
37,3,4,2
38,3,5,3
39,3,6,2
40,3,7,1
41,3,8,2
42,3,9,1
43,3,10,2
44,4,0,0
45,4,1,0
46,4,2,1
47,4,3,2
48,4,4,3
49,4,5,2
50,4,6,3
51,4,7,4
52,4,8,4
53,4,9,4
54,4,10,4
55,5,0,0
56,5,1,0
57,5,2,0
58,5,3,0
59,5,4,0
60,5,5,0
61,5,6,0
62,5,7,0
63,5,8,0
64,5,9,0
65,5,10,0
66,6,0,0
67,6,1,1
68,6,2,0
69,6,3,1
70,6,4,1
71,6,5,0
72,6,6,1
73,6,7,1
74,6,8,1
75,6,9,2
76,6,10,1
77,7,0,0
78,7,1,1
79,7,2,0
80,7,3,1
81,7,4,1
82,7,5,1
83,7,6,0
84,7,7,0
85,7,8,0
86,7,9,1
87,7,10,1
88,8,0,0
89,8,1,0
90,8,2,1
91,8,3,1
92,8,4,1
93,8,5,1
94,8,6,2
95,8,7,2
96,8,8,3
97,8,9,4
98,8,10,3
99,9,0,0
100,9,1,0
101,9,2,0
102,9,3,0
103,9,4,0
104,9,5,0
105,9,6,0
106,9,7,0
107,9,8,0
108,9,9,0
109,9,10,0
110,10,0,0
111,10,1,1
112,10,2,2
113,10,3,3
114,10,4,4
115,10,5,3
116,10,6,4
117,10,7,5
118,10,8,5
119,10,9,5
120,10,10,5
121,11,0,0
122,11,1,1
123,11,2,2
124,11,3,1
125,11,4,2
126,11,5,1
127,11,6,2
128,11,7,3
129,11,8,3
130,11,9,3
131,11,10,3
132,12,0,0
133,12,1,0
134,12,2,1
135,12,3,2
136,12,4,1
137,12,5,2
138,12,6,1
139,12,7,2
140,12,8,1
141,12,9,2
142,12,10,3
143,13,0,0
144,13,1,0
145,13,2,0
146,13,3,0
147,13,4,0
148,13,5,0
149,13,6,0
150,13,7,0
151,13,8,0
152,13,9,0
153,13,10,0
154,14,0,0
155,14,1,1
156,14,2,0
157,14,3,1
158,14,4,1
159,14,5,0
160,14,6,1
161,14,7,0
162,14,8,1
163,14,9,2
164,14,10,3
165,15,0,0
166,15,1,0
167,15,2,0
168,15,3,0
169,15,4,0
170,15,5,0
171,15,6,0
172,15,7,0
173,15,8,0
174,15,9,0
175,15,10,0
176,16,0,0
177,16,1,1
178,16,2,1
179,16,3,1
180,16,4,1
181,16,5,0
182,16,6,1
183,16,7,1
184,16,8,0
185,16,9,1
186,16,10,0
187,17,0,0
188,17,1,1
189,17,2,2
190,17,3,3
191,17,4,4
192,17,5,3
193,17,6,2
194,17,7,3
195,17,8,4
196,17,9,3
197,17,10,4
198,18,0,0
199,18,1,1
200,18,2,2
201,18,3,3
202,18,4,2
203,18,5,3
204,18,6,4
205,18,7,5
206,18,8,5
207,18,9,5
208,18,10,5
209,19,0,0
210,19,1,1
211,19,2,0
212,19,3,1
213,19,4,2
214,19,5,1
215,19,6,0
216,19,7,1
217,19,8,2
218,19,9,1
219,19,10,2
220,20,0,0
221,20,1,0
222,20,2,0
223,20,3,0
224,20,4,0
225,20,5,0
226,20,6,0
227,20,7,0
228,20,8,0
229,20,9,0
230,20,10,0
231,21,0,0
232,21,1,0
233,21,2,0
234,21,3,0
235,21,4,0
236,21,5,0
237,21,6,0
238,21,7,0
239,21,8,0
240,21,9,0
241,21,10,0
242,22,0,0
243,22,1,0
244,22,2,0
245,22,3,0
246,22,4,0
247,22,5,0
248,22,6,0
249,22,7,0
250,22,8,0
251,22,9,0
252,22,10,0
253,23,0,0
254,23,1,1
255,23,2,2
256,23,3,3
257,23,4,4
258,23,5,3
259,23,6,4
260,23,7,4
261,23,8,3
262,23,9,2
263,23,10,1
264,24,0,0
265,24,1,1
266,24,2,0
267,24,3,1
268,24,4,0
269,24,5,1
270,24,6,0
271,24,7,0
272,24,8,1
273,24,9,0
274,24,10,1
275,25,0,0
276,25,1,0
277,25,2,0
278,25,3,0
279,25,4,0
280,25,5,0
281,25,6,0
282,25,7,0
283,25,8,0
284,25,9,0
285,25,10,0
286,26,0,0
287,26,1,0
288,26,2,0
289,26,3,1
290,26,4,0
291,26,5,0
292,26,6,0
293,26,7,0
294,26,8,0
295,26,9,0
296,26,10,0
297,27,0,0
298,27,1,1
299,27,2,0
300,27,3,1
301,27,4,2
302,27,5,1
303,27,6,0
304,27,7,1
305,27,8,0
306,27,9,1
307,27,10,0
308,28,0,0
309,28,1,1
310,28,2,2
311,28,3,3
312,28,4,4
313,28,5,3
314,28,6,4
315,28,7,3
316,28,8,4
317,28,9,5
318,28,10,5
319,29,0,0
320,29,1,1
321,29,2,2
322,29,3,1
323,29,4,2
324,29,5,3
325,29,6,4
326,29,7,5
327,29,8,5
328,29,9,5
329,29,10,5
330,30,0,0
331,30,1,1
332,30,2,1
333,30,3,1
334,30,4,1
335,30,5,1
336,30,6,1
337,30,7,1
338,30,8,1
339,30,9,1
340,30,10,1
341,31,0,0
342,31,1,1
343,31,2,0
344,31,3,1
345,31,4,0
346,31,5,1
347,31,6,0
348,31,7,1
349,31,8,0
350,31,9,1
351,31,10,2
352,32,0,0
353,32,1,1
354,32,2,1
355,32,3,0
356,32,4,0
357,32,5,0
358,32,6,0
359,32,7,1
360,32,8,0
361,32,9,0
362,32,10,0
363,33,0,0
364,33,1,0
365,33,2,1
366,33,3,2
367,33,4,3
368,33,5,2
369,33,6,3
370,33,7,2
371,33,8,1
372,33,9,2
373,33,10,3
374,34,0,0
375,34,1,1
376,34,2,0
377,34,3,1
378,34,4,0
379,34,5,1
380,34,6,0
381,34,7,1
382,34,8,0
383,34,9,1
384,34,10,0
385,35,0,0
386,35,1,0
387,35,2,0
388,35,3,1
389,35,4,1
390,35,5,1
391,35,6,1
392,35,7,2
393,35,8,3
394,35,9,4
395,35,10,4
396,36,0,0
397,36,1,1
398,36,2,1
399,36,3,2
400,36,4,3
401,36,5,4
402,36,6,3
403,36,7,2
404,36,8,3
405,36,9,4
406,36,10,3
407,37,0,0
408,37,1,1
409,37,2,2
410,37,3,3
411,37,4,4
412,37,5,3
413,37,6,4
414,37,7,3
415,37,8,4
416,37,9,3
417,37,10,4
418,38,0,0
419,38,1,0
420,38,2,1
421,38,3,1
422,38,4,0
423,38,5,1
424,38,6,0
425,38,7,1
426,38,8,0
427,38,9,1
428,38,10,0
429,39,0,0
430,39,1,1
431,39,2,2
432,39,3,3
433,39,4,2
434,39,5,1
435,39,6,2
436,39,7,3
437,39,8,2
438,39,9,3
439,39,10,2
440,40,0,0
441,40,1,1
442,40,2,1
443,40,3,1
444,40,4,1
445,40,5,1
446,40,6,1
447,40,7,1
448,40,8,2
449,40,9,1
450,40,10,1
451,41,0,0
452,41,1,0
453,41,2,0
454,41,3,0
455,41,4,0
456,41,5,0
457,41,6,0
458,41,7,0
459,41,8,0
460,41,9,0
461,41,10,0
462,42,0,0
463,42,1,0
464,42,2,0
465,42,3,0
466,42,4,0
467,42,5,1
468,42,6,0
469,42,7,0
470,42,8,0
471,42,9,0
472,42,10,0
473,43,0,0
474,43,1,1
475,43,2,2
476,43,3,1
477,43,4,0
478,43,5,0
479,43,6,0
480,43,7,0
481,43,8,0
482,43,9,1
483,43,10,0
484,44,0,0
485,44,1,0
486,44,2,1
487,44,3,2
488,44,4,3
489,44,5,4
490,44,6,5
491,44,7,5
492,44,8,5
493,44,9,5
494,44,10,5
495,45,0,0
496,45,1,1
497,45,2,2
498,45,3,2
499,45,4,2
500,45,5,1
501,45,6,2
502,45,7,2
503,45,8,2
504,45,9,3
505,45,10,4
506,46,0,0
507,46,1,1
508,46,2,2
509,46,3,3
510,46,4,2
511,46,5,1
512,46,6,2
513,46,7,1
514,46,8,2
515,46,9,1
516,46,10,2
517,47,0,0
518,47,1,1
519,47,2,0
520,47,3,1
521,47,4,0
522,47,5,0
523,47,6,1
524,47,7,0
525,47,8,0
526,47,9,1
527,47,10,2
528,48,0,0
529,48,1,0
530,48,2,0
531,48,3,0
532,48,4,0
533,48,5,0
534,48,6,0
535,48,7,0
536,48,8,0
537,48,9,0
538,48,10,0
539,49,0,0
540,49,1,1
541,49,2,2
542,49,3,3
543,49,4,4
544,49,5,5
545,49,6,5
546,49,7,5
547,49,8,5
548,49,9,5
549,49,10,5
550,50,0,0
551,50,1,0
552,50,2,0
553,50,3,1
554,50,4,1
555,50,5,2
556,50,6,1
557,50,7,1
558,50,8,1
559,50,9,1
560,50,10,2
561,51,0,0
562,51,1,1
563,51,2,2
564,51,3,1
565,51,4,2
566,51,5,3
567,51,6,4
568,51,7,3
569,51,8,4
570,51,9,3
571,51,10,4
572,52,0,0
573,52,1,0
574,52,2,0
575,52,3,0
576,52,4,0
577,52,5,0
578,52,6,1
579,52,7,2
