,subject,time,state,state_max_by_time
0,0,0,0,0.0
1,0,2,0,0.0
2,0,6,0,0.0
3,0,8,0,0.0
4,0,9,1,1.0
5,0,10,0,1.0
6,1,1,1,1.0
7,1,2,2,2.0
8,1,3,1,2.0
9,1,8,2,2.0
10,1,9,3,3.0
11,1,10,4,4.0
12,2,2,0,0.0
13,2,3,1,1.0
14,2,6,3,3.0
15,2,7,3,3.0
16,2,8,4,4.0
17,2,10,5,5.0
18,3,0,0,0.0
19,3,1,1,1.0
20,3,2,2,2.0
21,3,5,3,3.0
22,3,6,2,3.0
23,3,7,1,3.0
24,4,4,3,3.0
25,4,5,2,3.0
26,4,6,3,3.0
27,4,8,4,4.0
28,4,9,4,4.0
29,4,10,4,4.0
30,5,1,0,0.0
31,5,3,0,0.0
32,5,5,0,0.0
33,5,6,0,0.0
34,5,7,0,0.0
35,5,9,0,0.0
36,6,1,1,1.0
37,6,4,1,1.0
38,6,5,0,1.0
39,6,7,1,1.0
40,6,8,1,1.0
41,6,9,2,2.0
42,7,1,1,1.0
43,7,2,0,1.0
44,7,3,1,1.0
45,7,4,1,1.0
46,7,5,1,1.0
47,7,8,0,1.0
48,8,2,1,1.0
49,8,3,1,1.0
50,8,4,1,1.0
51,8,5,1,1.0
52,8,9,4,4.0
53,8,10,3,4.0
54,9,0,0,0.0
55,9,2,0,0.0
56,9,3,0,0.0
57,9,4,0,0.0
58,9,8,0,0.0
59,9,9,0,0.0
60,10,0,0,0.0
61,10,2,2,2.0
62,10,3,3,3.0
63,10,6,4,4.0
64,10,8,5,5.0
65,10,10,5,5.0
66,11,0,0,0.0
67,11,1,1,1.0
68,11,2,2,2.0
69,11,4,2,2.0
70,11,6,2,2.0
71,11,9,3,3.0
72,12,1,0,0.0
73,12,2,1,1.0
74,12,6,1,1.0
75,12,7,2,2.0
76,12,8,1,2.0
77,12,10,3,3.0
78,13,1,0,0.0
79,13,2,0,0.0
80,13,4,0,0.0
81,13,5,0,0.0
82,13,7,0,0.0
83,13,8,0,0.0
84,14,0,0,0.0
85,14,3,1,1.0
86,14,5,0,1.0
87,14,6,1,1.0
88,14,7,0,1.0
89,14,10,3,3.0
90,15,0,0,0.0
91,15,2,0,0.0
92,15,5,0,0.0
93,15,7,0,0.0
94,15,9,0,0.0
95,15,10,0,0.0
96,16,1,1,1.0
97,16,2,1,1.0
98,16,5,0,1.0
99,16,6,1,1.0
100,16,9,1,1.0
101,16,10,0,1.0
102,17,0,0,0.0
103,17,1,1,1.0
104,17,3,3,3.0
105,17,4,4,4.0
106,17,5,3,4.0
107,17,8,4,4.0
108,18,2,2,2.0
109,18,5,3,3.0
110,18,6,4,4.0
111,18,7,5,5.0
112,18,9,5,5.0
113,18,10,5,5.0
114,19,1,1,1.0
115,19,2,0,1.0
116,19,5,1,1.0
117,19,6,0,1.0
118,19,7,1,1.0
119,19,8,2,2.0
120,20,3,0,0.0
121,20,4,0,0.0
122,20,5,0,0.0
123,20,6,0,0.0
124,20,9,0,0.0
125,20,10,0,0.0
126,21,1,0,0.0
127,21,2,0,0.0
128,21,6,0,0.0
129,21,7,0,0.0
130,21,9,0,0.0
131,21,10,0,0.0
132,22,0,0,0.0
133,22,1,0,0.0
134,22,2,0,0.0
135,22,5,0,0.0
136,22,7,0,0.0
137,22,9,0,0.0
138,23,0,0,0.0
139,23,4,4,4.0
140,23,6,4,4.0
141,23,7,4,4.0
142,23,8,3,4.0
143,23,9,2,4.0
144,24,4,0,0.0
145,24,5,1,1.0
146,24,6,0,1.0
147,24,8,1,1.0
148,24,9,0,1.0
149,24,10,1,1.0
150,25,0,0,0.0
151,25,3,0,0.0
152,25,6,0,0.0
153,25,7,0,0.0
154,25,8,0,0.0
155,25,10,0,0.0
156,26,1,0,0.0
157,26,2,0,0.0
158,26,3,1,1.0
159,26,6,0,1.0
160,26,8,0,1.0
161,26,9,0,1.0
162,27,1,1,1.0
163,27,4,2,2.0
164,27,5,1,2.0
165,27,6,0,2.0
166,27,7,1,2.0
167,27,8,0,2.0
168,28,3,3,3.0
169,28,5,3,3.0
170,28,6,4,4.0
171,28,8,4,4.0
172,28,9,5,5.0
173,28,10,5,5.0
174,29,1,1,1.0
175,29,3,1,1.0
176,29,4,2,2.0
177,29,5,3,3.0
178,29,7,5,5.0
179,29,9,5,5.0
180,30,0,0,0.0
181,30,1,1,1.0
182,30,5,1,1.0
183,30,6,1,1.0
184,30,8,1,1.0
185,30,10,1,1.0
186,31,0,0,0.0
187,31,4,0,0.0
188,31,6,0,0.0
189,31,7,1,1.0
190,31,9,1,1.0
191,31,10,2,2.0
192,32,3,0,0.0
193,32,4,0,0.0
194,32,7,1,1.0
195,32,8,0,1.0
196,32,9,0,1.0
197,32,10,0,1.0
198,33,0,0,0.0
199,33,2,1,1.0
200,33,4,3,3.0
201,33,5,2,3.0
202,33,6,3,3.0
203,33,7,2,3.0
204,34,3,1,1.0
205,34,4,0,1.0
206,34,5,1,1.0
207,34,7,1,1.0
208,34,8,0,1.0
209,34,10,0,1.0
210,35,0,0,0.0
211,35,1,0,0.0
212,35,2,0,0.0
213,35,5,1,1.0
214,35,7,2,2.0
215,35,10,4,4.0
216,36,1,1,1.0
217,36,3,2,2.0
218,36,4,3,3.0
219,36,7,2,3.0
220,36,8,3,3.0
221,36,10,3,3.0
222,37,0,0,0.0
223,37,2,2,2.0
224,37,3,3,3.0
225,37,4,4,4.0
226,37,6,4,4.0
227,37,7,3,4.0
228,38,0,0,0.0
229,38,1,0,0.0
230,38,3,1,1.0
231,38,7,1,1.0
232,38,9,1,1.0
233,38,10,0,1.0
234,39,0,0,0.0
235,39,1,1,1.0
236,39,2,2,2.0
237,39,6,2,2.0
238,39,9,3,3.0
239,39,10,2,3.0
240,40,1,1,1.0
241,40,2,1,1.0
242,40,4,1,1.0
243,40,6,1,1.0
244,40,8,2,2.0
245,40,9,1,2.0
246,41,0,0,0.0
247,41,1,0,0.0
248,41,2,0,0.0
249,41,3,0,0.0
250,41,6,0,0.0
251,41,9,0,0.0
252,42,0,0,0.0
253,42,1,0,0.0
254,42,3,0,0.0
255,42,5,1,1.0
256,42,7,0,1.0
257,42,8,0,1.0
258,43,0,0,0.0
259,43,2,2,2.0
260,43,4,0,2.0
261,43,5,0,2.0
262,43,6,0,2.0
263,43,9,1,2.0
264,44,1,0,0.0
265,44,2,1,1.0
266,44,4,3,3.0
267,44,5,4,4.0
268,44,7,5,5.0
269,44,8,5,5.0
270,45,0,0,0.0
271,45,3,2,2.0
272,45,4,2,2.0
273,45,5,1,2.0
274,45,7,2,2.0
275,45,9,3,3.0
276,46,1,1,1.0
277,46,4,2,2.0
278,46,5,1,2.0
279,46,7,1,2.0
280,46,9,1,2.0
281,46,10,2,2.0
282,47,1,1,1.0
283,47,3,1,1.0
284,47,5,0,1.0
285,47,7,0,1.0
286,47,8,0,1.0
287,47,10,2,2.0
288,48,4,0,0.0
289,48,5,0,0.0
290,48,7,0,0.0
291,48,8,0,0.0
292,48,9,0,0.0
293,48,10,0,0.0
294,49,0,0,0.0
295,49,2,2,2.0
296,49,4,4,4.0
297,49,6,5,5.0
298,49,7,5,5.0
299,49,10,5,5.0
300,50,0,0,0.0
301,50,1,0,0.0
302,50,4,1,1.0
303,50,6,1,1.0
304,50,7,1,1.0
305,50,10,2,2.0
306,51,1,1,1.0
307,51,2,2,2.0
308,51,4,2,2.0
309,51,6,4,4.0
310,51,8,4,4.0
311,51,9,3,4.0
312,52,0,0,0.0
313,52,1,0,0.0
314,52,2,0,0.0
315,52,4,0,0.0
316,52,7,2,2.0
317,52,9,2,2.0
318,53,1,0,0.0
319,53,2,0,0.0
320,53,4,0,0.0
321,53,5,0,0.0
322,53,6,0,0.0
323,53,7,0,0.0
324,54,2,0,0.0
325,54,3,0,0.0
326,54,6,0,0.0
327,54,8,0,0.0
328,54,9,0,0.0
329,54,10,0,0.0
330,55,1,1,1.0
331,55,2,2,2.0
332,55,3,1,2.0
333,55,8,2,2.0
334,55,9,1,2.0
335,55,10,2,2.0
