OBJECTID,lau118cd,lau118nm,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool,447157,531476,-1.27023005,54.67615891,98441690.7574158,65270.0780417175,03d5221c-fddf-4121-9c49-99d6c21bcbb3
2,E06000002,Middlesbrough,451141,516887,-1.21098995,54.5446701,54553584.907608,41055.7759751222,6f8b2d32-b516-43e5-8d16-18cbd29cf616
3,E06000003,Redcar and Cleveland,464359,519597,-1.00610995,54.56752014,253890930.873749,101208.747594727,02da32a6-2e18-432f-b7d2-f25fd406ed6e
4,E06000004,Stockton-on-Tees,444937,518183,-1.30668998,54.55691147,209730813.053024,108085.142727658,477dd00e-71b3-4a1c-9a54-77c2a86ebef8
5,E06000005,Darlington,428029,515649,-1.56834996,54.5353508,197475688.954697,107206.282926211,3c67174f-984f-4514-912b-e4cd530d1833
6,E06000006,Halton,354246,382146,-2.68852997,53.33423996,90321523.2089157,60716.8300996137,810989cc-ee6b-468b-a7ad-504c1fb1b03d
7,E06000007,Warrington,362744,388456,-2.56167006,53.39162827,182383635.115242,84154.555441553,66a18d2e-e25e-480c-a269-7fbf65117a90
8,E06000008,Blackburn with Darwen,369490,422806,-2.46359992,53.70080185,137022077.719894,65284.970849002,0f6defaf-185d-4833-860c-512e4999c129
9,E06000009,Blackpool,332763,436633,-3.02284002,53.8216095,43150773.2085419,36304.9601771457,9cf678ad-8857-4db2-8a91-76639feea9dc
10,E06000010,"Kingston upon Hull, City of",511894,431716,-0.30379999,53.76979065,81497501.4366608,45997.5142815034,3d75f013-9d67-4ccc-b9aa-fa7217895368
11,E06000011,East Riding of Yorkshire,488051,443608,-0.66202998,53.88122177,2494795363.79152,372194.16554884,69652bb6-433b-4008-ba0a-eff564c7072a
12,E06000012,North East Lincolnshire,523454,404574,-0.13926999,53.52336121,203554047.522308,89885.8588061322,3d413b3f-6c9b-4192-8c6f-4c4e23e7c111
13,E06000013,North Lincolnshire,497798,410996,-0.52410001,53.58644867,875684730.274277,185646.340101724,5d82f26c-3dc3-439d-b765-85367f85d039
14,E06000014,York,460864,452589,-1.07375002,53.96582031,272014815.261597,99399.3270533418,cb7c0642-103e-4fb5-aaba-f9074bd93a32
15,E06000015,Derby,435609,335375,-1.47188997,52.91463852,78031122.037735,50037.5395610165,2e466bf5-4520-42a2-8b06-13d3dde78ff3
16,E06000016,Leicester,458946,304594,-1.13039994,52.63592148,73342069.7191391,51931.7063411874,4879e238-91ff-4ae7-9d92-182ec00fab12
17,E06000017,Rutland,492992,308655,-0.62629998,52.66764832,393748905.719757,125884.792335254,8fd65165-8b16-44fc-8a17-1bad670808b4
18,E06000018,Nottingham,456082,339969,-1.16666996,52.9541893,74613562.9979095,58724.0264957703,b0fad52e-5dad-46a5-87e1-c131d5505677
19,E06000019,"Herefordshire, County of",349434,242834,-2.73931003,52.08153915,2179709447.06601,349888.722457912,13809e20-72ca-49d8-b413-6ca967a28880
20,E06000020,Telford and Wrekin,367035,313057,-2.48940992,52.71416855,290313546.428253,118779.667143961,b7c9ebe9-3b0a-49c5-ba69-b34c1c3f699e
21,E06000021,Stoke-on-Trent,389438,346652,-2.15888,53.01707077,93448485.2553482,63974.4081284262,431cbc87-5d7a-40c2-a348-28d554983534
22,E06000022,Bath and North East Somerset,366217,161999,-2.48654008,51.35604095,351123210.187054,141684.537764099,9c35abfd-e3e3-4d39-8fce-559289603a69
23,E06000023,"Bristol, City of",359990,174846,-2.57742,51.47114944,235328726.49316,145315.58465317,64ca8f39-c034-40eb-b557-64cad553db05
24,E06000024,North Somerset,347613,166719,-2.75439,51.39707184,390815091.792049,139299.52534469,bcaf7773-8e98-4443-841d-637119049942
25,E06000025,South Gloucestershire,367559,183196,-2.46921992,51.54671097,536645357.487804,158121.562718265,a2a60fda-098e-4f68-ad53-c5799e485572
26,E06000026,Plymouth,249944,58255,-4.1129899,50.40494156,84362634.4632654,61972.1951184036,78ead367-a9f5-4acc-ae7d-01c33df60aa8
27,E06000027,Torbay,289730,64608,-3.5552299,50.4708786,119467055.984947,52413.7108698258,5cb5e479-aaa7-4666-b497-ecc65e47204f
28,E06000028,Bournemouth,410069,93928,-1.85863996,50.7448616,47168138.4938087,44382.6738227284,dfd24ad1-337c-400c-b3d2-b10ac38458e9
29,E06000029,Poole,403393,93466,-1.95326996,50.74077988,74716162.1591721,46214.7907624573,ce67c98e-c0c2-41ce-8c4b-16b55f698dff
30,E06000030,Swindon,418551,186564,-1.73367,51.57762909,230093380.793114,103014.580608687,9f022b6f-daf3-4fdd-b8e3-f8a8a8330ff4
31,E06000031,Peterborough,517372,300777,-0.26874,52.5921402,343437883.036865,112635.083114773,2e9278e6-6d22-4f97-bdf7-67b0d292c68d
32,E06000032,Luton,508606,222559,-0.42319,51.89102173,43352495.1874924,34569.5865193314,f34cb11e-1b8d-414e-8825-a83e5d089c61
33,E06000033,Southend-on-Sea,587776,186833,0.70690602,51.54914093,67901003.5007858,69436.7550829484,19f99998-3304-4add-a209-c10288e98db4
34,E06000034,Thurrock,562126,181586,0.33490199,51.5099411,184317852.903976,77761.9187170022,c224579e-2114-43b3-9562-f72595155f80
35,E06000035,Medway,578207,175196,0.563173,51.44770813,269063686.436836,92535.6435068078,5cdf6667-e6e4-4a73-93aa-e076bb578e00
36,E06000036,Bracknell Forest,488169,168792,-0.73363,51.41130066,109384210.773521,62507.9159900031,7a9c4711-8f10-4b32-a8bc-d43fb2629012
37,E06000037,West Berkshire,450575,172095,-1.27364004,51.44559097,704169403.399658,166801.57012102,37a182af-6987-4da1-a102-e5b3811efa8b
38,E06000038,Reading,470226,173154,-0.99071002,51.45301819,40397991.5698242,39330.6468303068,f736abc0-4e8a-4893-85a3-40cdb7b7104d
39,E06000039,Slough,498920,179246,-0.57617003,51.50350189,32542008.8858337,44181.3798699955,4e24aaee-fb20-468b-984f-b8ccd92c184f
40,E06000040,Windsor and Maidenhead,492079,176541,-0.67540997,51.48033905,198427168.605873,114829.087115429,1266b082-3cb2-4d5f-8cca-7598ad939e54
41,E06000041,Wokingham,476624,169902,-0.89934999,51.42295837,178965481.032433,86865.5835802133,615e11f6-26ab-4a22-add6-ff6466582c78
42,E06000042,Milton Keynes,486408,242308,-0.74070001,52.07241058,308626792.950798,102960.084732433,3b6eb09d-d4b3-43c8-8c99-d17e63d699a2
43,E06000043,Brighton and Hove,530279,106849,-0.15079001,50.84648895,85376797.6777496,58333.2176055825,68e0d0a5-d473-4d79-b1d5-b88087373efb
44,E06000044,Portsmouth,465607,101357,-1.07023001,50.80804825,60144416.4714928,43572.7240879278,f6a118f6-810b-400d-b592-d2404d155465
45,E06000045,Southampton,442253,113608,-1.40024996,50.92037964,56385169.6377563,37286.160754904,c2e86cc2-6b39-475e-977e-791e9c1c9fcb
46,E06000046,Isle of Wight,447186,85950,-1.33361995,50.67129898,394928881.989567,133586.941578423,31bb181b-ed70-457a-9dc8-74f5b30ec1b2
47,E06000047,County Durham,410381,532242,-1.8405,54.68513107,2232698640.05476,309346.126570336,a13e37f5-5676-48c6-a749-92bdc141c345
48,E06000049,Cheshire East,380510,363462,-2.29298997,53.1679306,1166357385.30634,301224.594426754,00ff27ff-568e-4f91-8ee9-3e14bd0a8a1e
49,E06000050,Cheshire West and Chester,353097,363145,-2.70298004,53.1633606,941207280.354843,258517.791479352,914d6aae-f21f-4beb-89a6-c27258859f3a
50,E06000051,Shropshire,350227,302960,-2.73667002,52.6221199,3197275385.17007,580648.558157417,5b2e590e-7db7-4964-acdc-9ca7aedb3ac1
